Temp_ID,Easting,Northing,Tree_Height,Crown_Diameter,Plot_Number,Date
228,476966.646,5429204.975,48.04,3.28,br01,2026-03-08
229,476991.702,5429150.112,40.28,3.04,br01,2026-03-08
230,476950.517,5429200.564,52.2,3.2,br01,2026-03-08
231,476951.07,5429116.978,34.51,2.16,br01,2026-03-08
232,476958.296,5429119.59,33.65,1.18,br01,2026-03-08
233,476969.885,5429148.266,38.61,1.64,br01,2026-03-08
234,477031.233,5429226.091,43.94,3.26,br01,2026-03-08
235,476936.117,5429124.968,31.88,3.2,br01,2026-03-08
236,476962.4,5429121.575,32.36,1.86,br01,2026-03-08
237,477004.318,5429237.637,44.51,2.32,br01,2026-03-08
238,476930.993,5429131.304,34.7,1.97,br01,2026-03-08
239,476947.561,5429134.008,36.83,1.91,br01,2026-03-08
240,477024.87,5429212.717,42.72,1.2,br01,2026-03-08
241,476943.058,5429134.738,37.54,1.49,br01,2026-03-08
242,476943.78,5429126.588,40.83,1.96,br01,2026-03-08
243,476930.561,5429166.532,45.68,5.7,br01,2026-03-08
244,477013.928,5429186.835,39.3,3.91,br01,2026-03-08
245,476968.286,5429204.242,47.9,1.06,br01,2026-03-08
246,477015.199,5429187.353,35.94,2.33,br01,2026-03-08
247,476974.399,5429148.528,38.74,2.1,br01,2026-03-08
248,476969.726,5429207.044,49.27,5.43,br01,2026-03-08
249,476935.113,5429126.045,31.44,1.01,br01,2026-03-08
250,476979.448,5429168.28,41.15,2.22,br01,2026-03-08
251,477006.179,5429172.191,37.12,1.16,br01,2026-03-08
252,477025.94,5429210.453,41.57,1.18,br01,2026-03-08
253,477002.576,5429171.771,36.14,3.58,br01,2026-03-08
254,476948.445,5429118.797,34.67,2.79,br01,2026-03-08
255,476946.188,5429122.843,37.32,1.55,br01,2026-03-08
256,476999.997,5429243.327,48.97,1.99,br01,2026-03-08
257,477009.036,5429191.661,41.14,3.66,br01,2026-03-08
258,476953.962,5429199.736,49.74,4.17,br01,2026-03-08
